Transaction Time|Transaction Type|Serial #|Buyer|Seller|Amount|Market ID
1689958162.447817112|CRYPTOTRANSFER|915|0.0.1335588|0.0.848824|500.0|sentx
1692400387.432483003|CRYPTOTRANSFER|917|0.0.3004265|0.0.511420|450.0|zuse
1692156917.641906003|CRYPTOTRANSFER|921|0.0.1498096|0.0.1079361|220.0|zuse
1690918433.632996647|CRYPTOTRANSFER|922|0.0.2336576|0.0.1252743|289.0|zuse
1690065773.278235769|CRYPTOTRANSFER|924|0.0.1757800|0.0.2991941|499.0|zuse
1692344740.032998003|CRYPTOTRANSFER|931|0.0.1498096|0.0.2962412|200.0|sentx
1690918384.885337229|CRYPTOTRANSFER|932|0.0.2336576|0.0.683376|280.0|zuse
1689981142.559098003|CRYPTOTRANSFER|933|0.0.1386381|0.0.683376|350.0|zuse
1691699545.592161534|CRYPTOTRANSFER|942|0.0.1498096|0.0.505765|222.0|zuse
1692036059.099350686|CRYPTOTRANSFER|943|0.0.1996114|0.0.505765|259.0|sentx
1690521519.912215003|CRYPTOTRANSFER|967|0.0.2104123|0.0.1685962|299.0|zuse
1692485559.228213050|CRYPTOTRANSFER|970|0.0.2145062|0.0.1757800|398.0|sentx
